,rk,squad,mp,w,d,l,gf,ga,gd,pts,top team scorer,goalkeeper
4,4,England,4.0,2.0,1.0,1.0,10.0,6.0,4.0,7.0,Wayne Rooney - 4,David James
5,5,France,4.0,2.0,1.0,1.0,7.0,5.0,2.0,7.0,Zinédine Zidane - 3,Fabien Barthez
6,6,Sweden,4.0,1.0,3.0,0.0,8.0,3.0,5.0,6.0,Henrik Larsson - 3,Andreas Isaksson
3,7,Netherlands,5.0,1.0,2.0,2.0,7.0,6.0,1.0,5.0,Ruud van Nistelrooy - 4,Edwin van der Sar
8,8,Italy,3.0,1.0,2.0,0.0,3.0,2.0,1.0,5.0,Antonio Cassano - 2,Gianluigi Buffon
7,9,Denmark,4.0,1.0,2.0,1.0,4.0,5.0,-1.0,5.0,Jon Dahl Tomasson - 3,Thomas Sørensen
9,10,Spain,3.0,1.0,1.0,1.0,2.0,2.0,0.0,4.0,"Fernando Morientes, Juan Carlos Valerón - 1",Iker Casillas
10,11,Russia,3.0,1.0,0.0,2.0,2.0,4.0,-2.0,3.0,,Vyacheslav Malafeev
11,12,Germany,3.0,0.0,2.0,1.0,2.0,3.0,-1.0,2.0,"Michael Ballack, Torsten Frings - 1",Oliver Kahn
12,13,Croatia,3.0,0.0,2.0,1.0,4.0,6.0,-2.0,2.0,"Igor Tudor, Dado Pršo... - 1",Tomislav Butina
13,14,Latvia,3.0,0.0,1.0,2.0,1.0,5.0,-4.0,1.0,Māris Verpakovskis - 1,Aleksandrs Koļinko
14,15,Switzerland,3.0,0.0,1.0,2.0,1.0,6.0,-5.0,1.0,Johan Vonlanthen - 1,Jörg Stiel
15,16,Bulgaria,3.0,0.0,0.0,3.0,1.0,9.0,-8.0,0.0,Martin Petrov - 1,Zdravko Zdravkov
0,1,France,6.0,5.0,0.0,1.0,13.0,7.0,6.0,15.0,Thierry Henry - 3,Fabien Barthez
2,2,Netherlands,5.0,4.0,1.0,0.0,13.0,3.0,10.0,13.0,Patrick Kluivert - 5,Edwin van der Sar
1,3,Italy,6.0,4.0,1.0,1.0,9.0,4.0,5.0,13.0,"Filippo Inzaghi, Francesco Totti - 2",Francesco Toldo
3,4,Portugal,5.0,4.0,0.0,1.0,10.0,4.0,6.0,12.0,Nuno Gomes - 4,Vítor Baía
4,5,Spain,4.0,2.0,0.0,2.0,7.0,7.0,0.0,6.0,"Gaizka Mendieta, Alfonso Pérez - 2",Santiago Cañizares
8,6,Norway,3.0,1.0,1.0,1.0,1.0,1.0,0.0,4.0,Steffen Iversen - 1,Thomas Myhre
5,7,Türkiye,4.0,1.0,1.0,2.0,3.0,4.0,-1.0,4.0,Hakan Şükür - 2,Rüştü Reçber
6,8,Romania,4.0,1.0,1.0,2.0,4.0,6.0,-2.0,4.0,"Ionel Ganea, Viorel Moldovan... - 1",Bogdan Stelea
7,9,Yugoslavia,4.0,1.0,1.0,2.0,8.0,13.0,-5.0,4.0,Savo Milošević - 5,Ivica Kralj
9,10,Czechia,3.0,1.0,0.0,2.0,3.0,3.0,0.0,3.0,Vladimír Šmicer - 2,Pavel Srníček
10,11,England,3.0,1.0,0.0,2.0,5.0,6.0,-1.0,3.0,Alan Shearer - 2,David Seaman
11,12,Belgium,3.0,1.0,0.0,2.0,2.0,5.0,-3.0,3.0,"Émile Mpenza, Bart Goor - 1",Filip De Wilde
12,13,Slovenia,3.0,0.0,2.0,1.0,4.0,5.0,-1.0,2.0,Zlatko Zahovič - 3,Mladen Dabanovič
13,14,Sweden,3.0,0.0,1.0,2.0,2.0,4.0,-2.0,1.0,"Johan Mjällby, Henrik Larsson - 1",Magnus Hedman
14,15,Germany,3.0,0.0,1.0,2.0,1.0,5.0,-4.0,1.0,Mehmet Scholl - 1,Oliver Kahn
15,16,Denmark,3.0,0.0,0.0,3.0,0.0,8.0,-8.0,0.0,,Peter Schmeichel
