,Rk,Player,Pos,Squad,Age,Club,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
53,54,Srđan Babić,DF,Serbia,26,1.es Almería,1996,1,0,13,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
54,55,Keanu Baccus,MF,Australia,24,1.sct St Mirren,1998,4,1,114,1.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,2,6,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04,Matches
55,56,Alexander Bah,DF,Denmark,24,1.pt Benfica,1997,2,0,46,0.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,3,3,7,0.0,0.0,0.0,0.0,0.0,0.11,0.14,0.25,0.11,0.25,Matches
56,57,Hattan Bahebri,MF,Saudi Arabia,29,1.sa Al-Shabab,1992,2,0,4,0.0,0,1,1,0,0,0,1,0,0.0,0.0,0.6,0.6,0,0,1,0.0,22.5,22.5,0.0,22.5,0.0,14.37,14.37,0.0,14.37,Matches
57,58,Alejandro Balde,DF,Spain,18,1.es Barcelona,2003,4,1,126,1.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5,5,12,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04,Matches
58,59,Gareth Bale,FW,Wales,32,1.us LAFC,1989,3,3,225,2.5,1,0,1,0,1,1,1,0,0.8,0.0,0.2,0.2,1,4,12,0.4,0.0,0.4,0.0,0.0,0.32,0.08,0.41,0.01,0.09,Matches
59,60,Fodé Ballo-Touré,DF,Senegal,25,1.it Milan,1997,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
60,61,Badr Banoun,DF,Morocco,28,1.qa Qatar SC,1993,3,0,54,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
61,62,Borna Barišić,DF,Croatia,29,1.sct Rangers,1992,1,1,120,1.3,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,2,3,2,0.0,0.0,0.0,0.0,0.0,0.02,0.12,0.14,0.02,0.14,Matches
62,63,Meshaal Barsham,GK,Qatar,24,1.qa Al Sadd,1998,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
63,64,Christian Bassogog,MF,Cameroon,26,1.cn Shanghai Shen,1995,1,0,24,0.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,4,1,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
64,65,Michy Batshuayi,FW,Belgium,28,1.tr Fenerbahçe,1993,2,2,151,1.7,1,0,1,1,0,0,0,0,0.8,0.8,0.1,0.8,0,1,10,0.6,0.0,0.6,0.6,0.6,0.45,0.03,0.48,0.45,0.48,Matches
65,66,Jan Bednarek,DF,Poland,26,1.eng Aston Villa,1996,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
66,67,Aziz Behich,DF,Australia,31,1.sct Dundee United,1990,4,4,360,4.0,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,7,6,5,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03,Matches
67,68,Alireza Beiranvand,GK,IR Iran,29,1.ir Persepolis,1992,2,2,109,1.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
68,69,Jude Bellingham,MF,England,18,1.de Dortmund,2003,5,5,414,4.6,1,1,2,1,0,0,0,0,0.6,0.6,0.3,0.9,9,22,30,0.22,0.22,0.43,0.22,0.43,0.12,0.07,0.19,0.12,0.19,Matches
69,70,Anis Ben Slimane,MF,Tunisia,21,1.dk Brøndby,2001,2,2,148,1.6,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0,3,11,0.0,0.0,0.0,0.0,0.0,0.07,0.06,0.12,0.07,0.12,Matches
70,71,Jewison Bennette,MF,Costa Rica,17,2.eng Sunderland,2004,3,1,103,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,0,8,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04,Matches
71,72,Rodrigo Bentancur,MF,Uruguay,24,1.eng Tottenham,1997,3,3,213,2.4,0,0,0,0,0,0,1,0,0.6,0.6,0.1,0.8,3,14,2,0.0,0.0,0.0,0.0,0.0,0.26,0.06,0.32,0.26,0.32,Matches
72,73,Bartosz Bereszyński,DF,Poland,29,1.it Sampdoria,1992,4,4,341,3.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,7,8,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
73,74,Steven Berghuis,MF,Netherlands,30,1.nl Ajax,1991,4,1,200,2.2,0,1,1,0,0,0,1,0,0.3,0.3,0.1,0.3,6,15,11,0.0,0.45,0.45,0.0,0.45,0.13,0.04,0.17,0.13,0.17,Matches
74,75,Steven Bergwijn,FW,Netherlands,24,1.nl Ajax,1997,4,3,213,2.4,0,0,0,0,0,0,1,0,0.5,0.5,0.0,0.5,2,4,23,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.21,0.21,0.21,Matches
75,76,Krystian Bielik,MF,Poland,24,3.eng Derby County,1998,4,2,216,2.4,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,1,7,0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.07,0.07,0.07,Matches
76,77,Daley Blind,DF,Netherlands,32,1.nl Ajax,1990,5,5,423,4.7,1,1,2,1,0,0,0,0,0.4,0.4,0.5,0.8,2,18,20,0.21,0.21,0.43,0.21,0.43,0.08,0.1,0.18,0.08,0.18,Matches
77,78,Celso Borges,MF,Costa Rica,34,1.cr Alajuelense,1988,3,3,249,2.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,10,1,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,Matches
78,79,Milan Borjan,GK,Canada,34,1.rs Red Star,1987,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
79,80,Karim Boudiaf,MF,Qatar,31,1.qa Al Duhail SC,1990,3,2,185,2.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,6,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
80,81,Sofiane Boufal,FW,Morocco,28,1.fr Angers,1993,7,7,475,5.3,0,0,0,0,0,0,1,0,0.3,0.3,0.3,0.6,21,18,26,0.0,0.0,0.0,0.0,0.0,0.05,0.06,0.11,0.05,0.11,Matches
81,82,Yassine Bounou,GK,Morocco,31,1.es Sevilla,1991,6,6,570,6.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
82,83,Martin Braithwaite,"FW,MF",Denmark,31,1.es Espanyol,1991,2,1,103,1.1,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,1,1,2,0.0,0.0,0.0,0.0,0.0,0.06,0.12,0.18,0.06,0.18,Matches
83,84,Mohammed Al-Breik,DF,Saudi Arabia,29,1.sa Al-Hilal,1992,2,1,65,0.7,0,0,0,0,0,0,0,0,0.4,0.0,0.0,0.1,1,6,3,0.0,0.0,0.0,0.0,0.0,0.51,0.07,0.58,0.03,0.1,Matches
84,85,Gleison Bremer,DF,Brazil,25,1.it Juventus,1997,2,1,109,1.2,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,0,1,0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.14,0.14,0.14,Matches
85,86,Dylan Bronn,DF,Tunisia,26,1.it Salernitana,1995,2,2,162,1.8,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,9,1,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04,Matches
86,87,Marcelo Brozović,MF,Croatia,29,1.it Inter,1992,6,6,552,6.1,0,0,0,0,0,0,1,0,0.5,0.5,0.2,0.7,11,42,18,0.0,0.0,0.0,0.0,0.0,0.09,0.03,0.12,0.09,0.12,Matches
87,88,Tajon Buchanan,"MF,DF",Canada,23,1.be Club Brugge,1999,3,3,260,2.9,0,1,1,0,0,0,1,0,0.9,0.9,0.5,1.4,11,10,27,0.0,0.35,0.35,0.0,0.35,0.33,0.17,0.5,0.33,0.5,Matches
88,89,Ante Budimir,FW,Croatia,30,1.es Osasuna,1991,2,0,55,0.6,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,0,0,2,0.0,0.0,0.0,0.0,0.0,0.37,0.07,0.44,0.37,0.44,Matches
89,90,Osman Bukari,MF,Ghana,23,1.rs Red Star,1998,2,0,59,0.7,1,0,1,1,0,0,0,0,0.5,0.5,0.1,0.6,2,1,7,1.53,0.0,1.53,1.53,1.53,0.76,0.09,0.85,0.76,0.85,Matches
90,91,Ali Al-Bulaihi,DF,Saudi Arabia,32,1.sa Al-Hilal,1989,3,3,216,2.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,2,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
91,92,Firas Al-Buraikan,"MF,FW",Saudi Arabia,22,1.sa Al-Fateh,2000,3,3,268,3.0,0,1,1,0,0,0,0,0,0.1,0.1,0.1,0.2,6,5,11,0.0,0.34,0.34,0.0,0.34,0.04,0.02,0.06,0.04,0.06,Matches
92,93,Sergio Busquets,MF,Spain,33,1.es Barcelona,1988,4,4,363,4.0,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,5,26,12,0.0,0.0,0.0,0.0,0.0,0.04,0.02,0.06,0.04,0.06,Matches
93,94,Martín Cáceres,DF,Uruguay,35,1.us LA Galaxy,1987,1,1,90,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
94,95,Moisés Caicedo,MF,Ecuador,20,1.eng Brighton,2001,3,3,269,3.0,1,0,1,1,0,0,1,0,0.5,0.5,0.0,0.5,5,10,2,0.33,0.0,0.33,0.33,0.33,0.17,0.0,0.17,0.17,0.17,Matches
95,96,Francisco Calvo,DF,Costa Rica,29,1.tr Konyaspor,1992,2,2,180,2.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,7,0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,Matches
96,97,Eduardo Camavinga,DF,France,19,1.es Real Madrid,2002,2,1,140,1.6,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,3,6,4,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.08,0.0,0.08,Matches
97,98,Joel Campbell,"FW,MF",Costa Rica,29,1.mx León,1992,3,3,269,3.0,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,4,12,11,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,Matches
98,99,João Cancelo,DF,Portugal,28,1.eng Manchester City,1994,4,3,310,3.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,10,19,23,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,Matches
99,100,Agustín Canobbio,MF,Uruguay,23,1.br Ath Paranaense,1998,1,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
100,101,Yannick Carrasco,"FW,DF",Belgium,28,1.es Atlético Madrid,1993,2,2,116,1.3,0,0,0,0,0,0,1,0,0.3,0.3,0.0,0.3,5,3,11,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.22,0.22,0.22,Matches
101,102,Cameron Carter-Vickers,DF,United States,24,1.sct Celtic,1997,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
102,103,Dani Carvajal,DF,Spain,30,1.es Real Madrid,1992,2,1,135,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,8,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
103,104,William Carvalho,MF,Portugal,30,1.es Betis,1992,4,2,215,2.4,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,16,0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03,Matches
