,min,squad,g+a_1,crdr,starts,pk,g-pk,ast,g-pk_1,crdy,mp,g+a-pk,gls_1,gls,player,g+a,ast_1
116,104,Belgium,0.0,0,1,0,0,0,0.0,2,2,0.0,0.0,0,Amadou Onana,0,0.0
117,851,Bosnia & Herz'na,0.11,0,10,0,1,0,0.11,2,10,0.11,0.11,1,Amar Dedić,1,0.00
118,136,Bosnia & Herz'na,0.66,0,2,0,1,0,0.66,0,3,0.66,0.66,1,Amar Rahmanović,1,0.00
119,47,Belgium,0.00,0,0,0,0,0,0.00,0,3,0.00,0.00,0,Ameen Al-Dakhil,0,0.00
120,432,Bosnia & Herz'na,0.21,0,5,0,0,1,0.00,1,9,0.21,0.00,0,Amir Hadžiahmetović,1,0.21
121,540,Kosovo,0.00,0,6,0,0,0,0.00,2,6,0.00,0.00,0,Amir Rrahmani,0,0.00
122,271,Israel,0.00,0,4,0,0,0,0.00,0,4,0.00,0.00,0,Anan Khalaili,0,0.00
123,27,Morocco,0.0,0,0,0,0,0,0.0,0,1,0.0,0.0,0,Anass Zaroury,0,0.0
124,820,Greece,0.66,0,10,2,2,2,0.22,1,10,0.44,0.44,4,Anastasios Bakasetas,6,0.22
125,39,Greece,0.00,0,0,0,0,0,0.00,0,3,0.00,0.00,0,Anastasios Chatzigiovannis,0,0.00
126,540,Ukraine,0.00,0,6,0,0,0,0.00,0,6,0.00,0.00,0,Anatolii Trubin,0,0.00
127,499,Cyprus,0.00,0,6,0,0,0,0.00,2,7,0.00,0.00,0,Anderson Correia,0,0.00
128,90,Switzerland,0.00,0,0,0,0,0,0.00,2,4,0.00,0.00,0,Andi Zeqiri,0,0.00
129,111,Faroe Islands,0.00,0,1,0,0,0,0.00,0,4,0.00,0.00,0,Andrass Johansen,0,0.00
130,545,Slovenia,0.99,0,7,0,3,3,0.50,2,7,0.99,0.50,3,Andraž Šporar,6,0.50
131,260,Cameroon,0.35,0,3,0,0,1,0.0,0,3,0.35,0.0,0,Andre-Frank Zambo Anguissa,1,0.35
132,47,San Marino,0.00,0,0,0,0,0,0.00,0,3,0.00,0.00,0,Andrea Magi,0,0.00
133,272,Greece,0.00,0,2,0,0,0,0.00,2,8,0.00,0.00,0,Andreas Bouchalakis,0,0.00
134,270,Denmark,0.33,0,3,0,1,0,0.33,1,3,0.33,0.33,1,Andreas Christensen,1,0.0
135,92,Denmark,0.0,0,1,0,0,0,0.0,1,3,0.0,0.0,0,Andreas Cornelius,0,0.0
136,556,Liechtenstein,0.00,0,7,0,0,0,0.00,3,7,0.00,0.00,0,Andreas Malin,0,0.00
137,1,Cyprus,0.00,0,0,0,0,0,0.00,0,1,0.00,0.00,0,Andreas Panayiotou Filiotis,0,0.00
138,132,Denmark,0.0,0,2,0,0,0,0.0,0,2,0.0,0.0,0,Andreas Skov Olsen,0,0.0
139,17,Austria,0.00,0,0,0,0,0,0.00,0,1,0.00,0.00,0,Andreas Ulmer,0,0.00
140,872,Romania,0.10,0,10,0,1,0,0.10,1,10,0.10,0.10,1,Andrei Burcă,1,0.00
141,450,Romania,0.20,0,5,0,0,1,0.00,1,5,0.20,0.00,0,Andrei Ratiu,1,0.20
142,474,Croatia,0.38,0,7,0,2,0,0.38,0,7,0.38,0.38,2,Andrej Kramarić,2,0.0
143,90,Belarus,0.00,0,1,0,0,0,0.00,0,1,0.00,0.00,0,Andrej Kudraviec,0,0.00
144,657,Latvia,0.00,0,8,0,0,0,0.00,2,8,0.00,0.00,0,Andrejs Ciganiks,0,0.00
145,493,Scotland,0.55,0,6,0,0,3,0.00,2,6,0.55,0.00,0,Andrew Robertson,3,0.55
146,184,Iceland,0.98,0,1,0,2,0,0.98,0,7,0.98,0.98,2,Andri Guðjohnsen,2,0.00
147,270,Bulgaria,0.00,1,4,0,0,0,0.00,2,4,0.00,0.00,0,Andrian Kraev,0,0.00
148,180,Faroe Islands,0.00,0,2,0,0,0,0.00,0,2,0.00,0.00,0,Andrias Edmundsson,0,0.00
149,480,Netherlands,0.0,0,5,0,0,0,0.0,0,5,0.0,0.0,0,Andries Noppert,0,0.0
150,21,Montenegro,0.00,0,0,0,0,0,0.00,0,1,0.00,0.00,0,Andrija Radulović,0,0.00
151,300,Montenegro,0.00,0,4,0,0,0,0.00,0,4,0.00,0.00,0,Andrija Vukčević,0,0.00
152,210,Serbia,0.86,0,3,0,0,2,0.0,0,3,0.86,0.0,0,Andrija Živković,2,0.86
153,153,Liechtenstein,0.00,0,0,0,0,0,0.00,0,6,0.00,0.00,0,Andrin Netzer,0,0.00
154,180,Ukraine,0.00,0,2,0,0,0,0.00,1,2,0.00,0.00,0,Andriy Lunin,0,0.00
155,202,Ukraine,0.45,0,3,0,1,0,0.45,0,3,0.45,0.45,1,Andriy Yarmolenko,1,0.00
156,134,Cyprus,0.00,0,1,0,0,0,0.00,0,5,0.00,0.00,0,Andronikos Kakoulli,0,0.00
157,30,Hungary,0.00,0,0,0,0,0,0.00,0,2,0.00,0.00,0,András Németh,0,0.00
158,198,Ghana,0.45,0,3,0,1,0,0.45,1,3,0.45,0.45,1,André Ayew,1,0.0
159,331,Armenia,0.00,0,4,0,0,0,0.00,0,4,0.00,0.00,0,André Calisir,0,0.00
160,80,Cameroon,0.0,0,1,0,0,0,0.0,0,1,0.0,0.0,0,André Onana,0,0.0
161,26,Portugal,0.0,0,0,0,0,0,0.0,0,1,0.0,0.0,0,André Silva,0,0.0
162,41,Mexico,0.0,0,1,0,0,0,0.0,0,1,0.0,0.0,0,Andrés Guardado,0,0.0
163,57,Slovenia,0.00,0,1,0,0,0,0.00,0,1,0.00,0.00,0,Andrés Vombergar,0,0.00
164,351,Bosnia & Herz'na,0.00,0,4,0,0,0,0.00,1,4,0.00,0.00,0,Anel Ahmedhodžić,0,0.00
165,540,Scotland,0.00,0,6,0,0,0,0.00,1,6,0.00,0.00,0,Angus Gunn,0,0.00
166,148,Tunisia,0.0,0,2,0,0,0,0.0,0,2,0.0,0.0,0,Anis Ben Slimane,0,0.0
167,61,Albania,0.00,0,0,0,0,0,0.00,0,3,0.00,0.00,0,Anis Mehmeti,0,0.00
